date,time,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,black_light_fluorescence,photo_id,fed,post_molt_cw_mm,post_molt_mass_g,digital_ri,ca,notes_observations,period
7/7/22,9:27,WL,GGG,Removed,M,3,6,A,3,NA,NA,N,NA,NA,6.1,313,,FALSE
5/31/22,9:18,WL,GGGW,Molted,M,3,10.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/6/22,9:36,WL,GGGW,Molted,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/13/22,10:52,WL,GGGW,Molted,M,3,7,P,3,NA,NA,N,NA,NA,NA,NA,Butt is sticking out a little as it molts,TRUE
5/26/22,9:22,WL,GGGY,Molted,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/2/22,9:22,WL,GGGY,Molted,M,3,4.5,M,2,NA,NA,N,60,51.9,NA,NA,Gill is sticking out of armpit (photo),TRUE
5/23/22,9:45,WL,GGKG,Molted,M,1,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
5/31/22,9:18,WL,GGKG,Molted,M,3,4,A,3,NA,NA,N,NA,NA,NA,NA,Sides soft, crack line appearing,TRUE
5/19/22,10:30,WL,GGKR,Molted,M,3,9.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/26/22,9:22,WL,GGKR,Molted,M,1,6,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,9:22,WL,GGKR,Molted,M,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/8/22,14:17,WL,GGKR,Molted,M,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/23/22,9:45,WL,GGRK,Removed,M,2,5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/31/22,9:18,WL,GGRK,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/6/22,9:36,WL,GGRK,Removed,M,1,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/13/22,10:52,WL,GGRK,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/16/22,10:30,WL,GGW,Molted,M,3,11,A,3,NA,NA,N,NA,NA,11.9,403,,FALSE
6/13/22,12:31,WL,GGWK,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/21/22,9:40,WL,GGWK,Removed,M,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/28/22,9:19,WL,GGWK,Removed,M,2,4.5,A,3,NA,NA,N,NA,NA,NA,308,,FALSE
7/5/22,9:22,WL,GGWK,Removed,M,3,7,A,3,NA,NA,N,NA,NA,8,323,,FALSE
7/11/22,9:37,WL,GGWK,Removed,M,3,7,A,3,NA,NA,N,NA,NA,7.7,355,,FALSE
5/23/22,9:45,WL,GGYG,Removed,M,1,9,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/31/22,9:18,WL,GGYG,Removed,M,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/6/22,9:36,WL,GGYG,Removed,M,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/13/22,10:52,WL,GGYG,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/23/22,9:45,WL,GGYR,Removed,M,2,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
