date,condo_id,crab_id,sex,hemo_color,hemo_ri,status,shell_hardness,cw_post_molt,mass_post_molt,digital_ri,ca,days_from_molt,pre_post
5/27/22,CML,R-RRK,M,3,7.5,A,3,NA,NA,NA,NA,5,NA
5/30/22,CML,R-RRK,M,3,9,A,2,NA,NA,NA,NA,2,pre
6/1/22,CML,R-RRK,M,1,3,M,1,63,46.47,NA,NA,0,post
5/17/22,CML,R-RW,M,3,4,A,3,NA,NA,NA,NA,25,NA
5/21/22,CML,R-RW,M,3,10.5,A,3,NA,NA,NA,NA,21,NA
5/25/22,CML,R-RW,M,NA,NA,A,3,NA,NA,NA,NA,17,NA
5/27/22,CML,R-RW,M,3,6.5,A,3,NA,NA,NA,NA,15,NA
5/30/22,CML,R-RW,M,3,8.5,A,3,NA,NA,NA,NA,12,NA
6/1/22,CML,R-RW,M,NA,NA,A,3,NA,NA,NA,NA,10,NA
6/4/22,CML,R-RW,M,3,7.5,A,3,NA,NA,NA,NA,7,NA
6/6/22,CML,R-RW,M,NA,NA,A,3,NA,NA,NA,NA,5,NA
6/8/22,CML,R-RW,M,NA,NA,A,3,NA,NA,NA,NA,3,pre
6/11/22,CML,R-RW,M,2,5,M,1,63,56,NA,NA,0,post
6/8/22,CML,R-RWR,M,5,12,A,3,NA,NA,NA,NA,12,NA
6/11/22,CML,R-RWR,M,3,8,A,3,NA,NA,NA,NA,9,NA
6/14/22,CML,R-RWR,M,3,5.5,A,3,NA,NA,NA,NA,6,NA
6/15/22,CML,R-RWR,M,NA,NA,A,3,NA,NA,NA,NA,5,NA
6/17/22,CML,R-RWR,M,3,7,A,2,NA,NA,NA,NA,3,pre
6/20/22,CML,R-RWR,M,2,5,M,1,52,48,NA,NA,0,post
5/17/22,CML,R-RYR,M,3,4,A,3,NA,NA,NA,NA,18,NA
5/21/22,CML,R-RYR,M,4,10,A,3,NA,NA,NA,NA,14,NA
5/25/22,CML,R-RYR,M,NA,NA,A,3,NA,NA,NA,NA,10,NA
5/27/22,CML,R-RYR,M,3,8,A,3,NA,NA,NA,NA,8,NA
5/30/22,CML,R-RYR,M,3,10,A,2,NA,NA,NA,NA,5,NA
6/1/22,CML,R-RYR,M,NA,NA,A,2,NA,NA,NA,NA,3,pre
6/4/22,CML,R-RYR,M,1,2,A,1,50,24.2,NA,NA,0,post
5/17/22,CML,R-RYW,M,3,3.5,A,3,NA,NA,NA,NA,18,NA
5/21/22,CML,R-RYW,M,4,8.5,A,3,NA,NA,NA,NA,14,NA
5/25/22,CML,R-RYW,M,NA,NA,A,3,NA,NA,NA,NA,10,NA
5/27/22,CML,R-RYW,M,3,9,A,3,NA,NA,NA,NA,8,NA
5/30/22,CML,R-RYW,M,3,9,A,3,NA,NA,NA,NA,5,NA
6/1/22,CML,R-RYW,M,NA,NA,A,3,NA,NA,NA,NA,3,pre
6/4/22,CML,R-RYW,M,1,3,A,1,58,37.1,NA,NA,0,post
5/17/22,CML,R-WRW,M,2,6.5,A,3,NA,NA,NA,NA,18,NA
5/21/22,CML,R-WRW,M,4,6.5,A,3,NA,NA,NA,NA,14,NA
5/25/22,CML,R-WRW,M,NA,NA,A,3,NA,NA,NA,NA,10,NA
5/27/22,CML,R-WRW,M,3,6.5,A,2,NA,NA,NA,NA,8,NA
5/30/22,CML,R-WRW,M,3,6,A,3,NA,NA,NA,NA,5,NA
6/1/22,CML,R-WRW,M,NA,NA,A,3,NA,NA,NA,NA,3,pre
6/4/22,CML,R-WRW,M,1,3,A,1,59,48.3,NA,NA,0,post
5/17/22,CML,R-WYK,M,3,10,A,3,NA,NA,NA,NA,25,NA
5/21/22,CML,R-WYK,M,3,9.5,A,3,NA,NA,NA,NA,21,NA
5/25/22,CML,R-WYK,M,NA,NA,A,3,NA,NA,NA,NA,17,NA
5/27/22,CML,R-WYK,M,3,8,A,3,NA,NA,NA,NA,15,NA
5/30/22,CML,R-WYK,M,3,6.5,A,3,NA,NA,NA,NA,12,NA
6/1/22,CML,R-WYK,M,NA,NA,A,3,NA,NA,NA,NA,10,NA
6/4/22,CML,R-WYK,M,3,7,A,3,NA,NA,NA,NA,7,NA
6/6/22,CML,R-WYK,M,NA,NA,A,3,NA,NA,NA,NA,5,NA
6/8/22,CML,R-WYK,M,NA,NA,A,3,NA,NA,NA,NA,3,pre
6/11/22,CML,R-WYK,M,2,4,M,1,52,31.7,NA,NA,0,post
5/17/22,CML,R-WYW —> R-WW,M,3,10.5,A,3,NA,NA,NA,NA,25,NA
5/21/22,CML,R-WYW —> R-WW,M,3,10.5,A,3,NA,NA,NA,NA,21,NA
5/25/22,CML,R-WYW —> R-WW,M,NA,NA,A,3,NA,NA,NA,NA,17,NA
5/27/22,CML,R-WYW —> R-WW,M,3,9,A,3,NA,NA,NA,NA,15,NA
5/30/22,CML,R-WYW —> R-WW,M,3,6,A,3,NA,NA,NA,NA,12,NA
6/1/22,CML,R-WYW —> R-WW,M,NA,NA,A,3,NA,NA,NA,NA,10,NA
6/4/22,CML,R-WYW —> R-WW,M,2,5,A,3,NA,NA,NA,NA,7,NA
6/6/22,CML,R-WYW —> R-WW,M,NA,NA,A,3,NA,NA,NA,NA,5,NA
6/8/22,CML,R-WYW —> R-WW,M,NA,NA,A,3,NA,NA,NA,NA,3,pre
6/11/22,CML,R-WYW —> R-WW,M,2,5,M,1,60,46.6,NA,NA,0,post
8/19/22,CML,U-BB (U-YWY),F,3,11,A,3,NA,NA,NA,NA,18,NA
8/22/22,CML,U-BB (U-YWY),F,3,7.5,A,3,NA,NA,NA,NA,15,NA
8/24/22,CML,U-BB (U-YWY),F,NA,NA,A,3,NA,NA,NA,NA,13,NA
8/26/22,CML,U-BB (U-YWY),F,3,7,A,3,NA,NA,NA,NA,11,NA
8/29/22,CML,U-BB (U-YWY),F,3,4,A,3,NA,NA,NA,NA,8,NA
9/2/22,CML,U-BB (U-YWY),F,3,4,A,3,NA,NA,NA,NA,4,pre
9/6/22,CML,U-BB (U-YWY),F,2,3,M,1,50,22.1,NA,NA,0,post
8/19/22,CML,U-BGB,F,4,13,A,3,NA,NA,NA,NA,14,NA
8/22/22,CML,U-BGB,F,4,9,A,3,NA,NA,NA,NA,11,NA
8/24/22,CML,U-BGB,F,NA,NA,A,3,NA,NA,NA,NA,9,NA
8/26/22,CML,U-BGB,F,4,6.5,A,3,NA,NA,NA,NA,7,NA
8/29/22,CML,U-BGB,F,5,10,A,3,NA,NA,NA,NA,4,pre
9/2/22,CML,U-BGB,F,3,4,M,1,53,30,NA,NA,0,post
5-Aug,CML,U-BWW,F,5,13,A,2,NA,NA,NA,NA,3,pre
8-Aug,CML,U-BWW,F,4,5.5,M,2,NA,NA,NA,NA,0,post
5-Aug,CML,U-GKR,F,5,11.5,A,2,NA,NA,NA,NA,3,pre
8-Aug,CML,U-GKR,F,1,5,M,2,NA,NA,NA,NA,0,post
8/6/21,CML,YBGR,F,NA,8,A,3,NA,NA,NA,NA,13,NA
8/10/21,CML,YBGR,F,NA,11,A,3,NA,NA,NA,NA,9,NA
8/13/21,CML,YBGR,F,NA,11,A,3,NA,NA,NA,NA,6,NA
8/17/21,CML,YBGR,F,NA,8,A,2,NA,NA,NA,NA,2,pre
8/19/21,CML,YBGR,F,NA,4,M,1,NA,NA,NA,NA,0,post
8/6/21,CML,YBGW,F,NA,12,A,3,NA,NA,NA,NA,13,NA
8/10/21,CML,YBGW,F,NA,10,A,3,NA,NA,NA,NA,9,NA
8/13/21,CML,YBGW,F,NA,10,A,3,NA,NA,NA,NA,6,NA
8/17/21,CML,YBGW,F,NA,9,A,3,NA,NA,NA,NA,2,pre
8/19/21,CML,YBGW,F,NA,5,M,1,NA,NA,NA,NA,0,post
7/22/21,WL,YBY,F,NA,12,A,3,NA,NA,NA,NA,15,NA
7/26/21,WL,YBY,F,NA,7,M,2,NA,NA,NA,NA,11,NA
8/2/21,WL,YBY,F,NA,4,A,3,NA,NA,NA,NA,4,pre
8/6/21,WL,YBY,F,NA,NA,D,NA,NA,NA,NA,NA,0,post
7/22/21,WL,YBYB,F,NA,12,A,3,NA,NA,NA,NA,18,NA
7/26/21,WL,YBYB,F,NA,10,A,3,NA,NA,NA,NA,14,NA
7/29/21,WL,YBYB,F,NA,10,A,3,NA,NA,NA,NA,11,NA
8/2/21,WL,YBYB,F,NA,9.5,A,3,NA,NA,NA,NA,7,NA
8/6/21,WL,YBYB,F,NA,9.5,A,3,NA,NA,NA,NA,3,pre
8/9/21,WL,YBYB,F,NA,8.5,A,3,NA,NA,NA,NA,0,post
7/22/21,WL,YYG,F,NA,13.5,A,3,NA,NA,NA,NA,4,pre
7/26/21,WL,YYG,F,NA,6,M,2,NA,NA,NA,NA,0,post
8/6/21,CML,YYGY,F,NA,12,A,3,NA,NA,NA,NA,11,NA
8/10/21,CML,YYGY,F,NA,8,A,3,NA,NA,NA,NA,7,NA
8/13/21,CML,YYGY,F,NA,9,A,3,NA,NA,NA,NA,4,pre
8/17/21,CML,YYGY,F,NA,5,M,1,NA,NA,NA,NA,0,post
8/6/21,CML,YYR,F,NA,7.5,A,3,NA,NA,NA,NA,28,NA
8/10/21,CML,YYR,F,NA,7,A,3,NA,NA,NA,NA,24,NA
8/13/21,CML,YYR,F,NA,6.5,A,3,NA,NA,NA,NA,21,NA
8/17/21,CML,YYR,F,NA,6.5,A,3,NA,NA,NA,NA,17,NA
8/19/21,CML,YYR,F,NA,7,A,3,NA,NA,NA,NA,15,NA
8/24/21,CML,YYR,F,NA,6,A,3,NA,NA,NA,NA,10,NA
8/27/21,CML,YYR,F,NA,6.5,A,3,NA,NA,NA,NA,7,NA
8/31/21,CML,YYR,F,NA,6,A,3,NA,NA,NA,NA,3,pre
9/3/21,CML,YYR,F,NA,4,M,1,NA,NA,NA,NA,0,post
8/6/21,CML,YYY,F,NA,9,A,3,NA,NA,NA,NA,18,NA
