date,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,cw,mass,digital_ri,ca,start_end,period
8/22/22,WL,UYKY,Removed,F,1,3,A,3,NA,NA,NA,NA,start,FALSE
8/22/22,WL,UYW,Removed,F,3,6.5,A,3,NA,NA,NA,NA,start,FALSE
7/22/21,WL,YBBB,Removed,F,NA,9,A,3,NA,NA,NA,NA,start,FALSE
7/22/21,WL,YBBG,Removed,F,NA,9,A,3,NA,NA,NA,NA,start,FALSE
7/22/21,WL,YBKY,Removed,F,NA,7,A,3,NA,NA,NA,NA,start,FALSE
8/6/21,CML,YB,Removed,F,NA,10,A,3,NA,NA,NA,NA,start,FALSE
7/22/21,WL,YBW,Removed,F,NA,5.5,A,3,NA,NA,NA,NA,start,FALSE
8/6/21,CML,YBBY,Removed,F,NA,7.5,A,3,NA,NA,NA,NA,start,FALSE
8/6/21,CML,YBGY,Removed,F,NA,7.5,A,3,NA,NA,NA,NA,start,FALSE
8/6/21,CML,YBKW,Removed,F,NA,6.5,A,3,NA,NA,NA,NA,start,FALSE
7/22/21,WL,YBWG,Removed,F,NA,9,A,3,NA,NA,NA,NA,start,FALSE
8/6/21,CML,YBR,Removed,F,NA,7.5,A,3,NA,NA,NA,NA,start,FALSE
8/6/21,CML,YBRB,Removed,F,NA,7,A,3,NA,NA,NA,NA,start,FALSE
7/22/21,WL,YBWY,Removed,F,NA,8,A,3,NA,NA,NA,NA,start,FALSE
7/22/21,WL,YBYK,Removed,F,NA,9,A,3,NA,NA,NA,NA,start,FALSE
8/6/21,CML,YY,Removed,F,NA,8,A,3,NA,NA,NA,NA,start,FALSE
8/6/21,CML,YYGW,Removed,F,NA,11,A,3,NA,NA,NA,NA,start,FALSE
8/6/21,CML,YYYG,Removed,F,NA,12,A,3,NA,NA,NA,NA,start,FALSE
8/6/21,CML,YYYW,Removed,F,NA,9.5,A,3,NA,NA,NA,NA,start,FALSE
