Date,Time,Condo ID,Crab ID,Outcome,Sex,Color,RI,Status,Shell Hardness,Black Light Fluorescence,Photo ID,Fed (Y/N),Post-molt CW (mm),Post-molt mass (g),Digital RI,Ca (ppm),Notes/Observations
7/12/21,14:55,WL,BGKR,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,Lathargic
7/15/21,9:40,WL,BGKR,Removed,M,NA,NA,A,3,L,101-0098,N,NA,NA,NA,NA,NA
7/19/21,10:26,WL,BGKR,Removed,M,NA,6.5,A,3,L,NA,N,NA,NA,NA,NA,NA
7/22/21,8:50,WL,BGKR,Removed,M,NA,NA,A,3,L,101-0124,N,NA,NA,NA,NA,NA
6/18/21,10:38,WL,BGKW,Missing,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGKW,Missing,M,NA,6,A,3,L,NA,N,NA,NA,NA,NA,NA
6/24/21,10:05,WL,BGKW,Missing,M,NA,NA,A,3,L,101-0022,N,NA,NA,NA,NA,Crunchy on sides
6/3/21,9:17,WL,BGKY,Molted,M,NA,NA,A,3,L,"16,17",N,NA,NA,NA,NA,NA
6/7/21,9:13,WL,BGKY,Molted,M,NA,4.5,A,3,L,"52,53",Y,NA,NA,NA,NA,NA
6/10/21,9:31,WL,BGKY,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/14/21,14:33,WL,BGKY,Molted,M,NA,5.5,M,1,L,"62,63",Y,NA,NA,NA,NA,"Bubbly blood sample, only top of old carapace left in condo, new tag ID: B-GK"
6/3/21,9:17,WL,BGR,Removed,M,NA,NA,A,3,L,"26,27",N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/7/21,9:13,WL,BGR,Removed,M,NA,3.5,A,3,L,"60,61",Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/10/21,9:31,WL,BGR,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/14/21,14:33,WL,BGR,Removed,M,NA,3,A,3,L,"86,84",Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/10/21,10:36,WL,BGRG,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/14/21,14:33,WL,BGRG,Removed,M,NA,4.5,A,3,L,"96,97",Y,NA,NA,NA,NA,"Very bubbly blood sample, Removed from tray (non-premolt) on 6/17/2021 12:35"
6/10/21,10:36,WL,BGRK,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/14/21,14:33,WL,BGRK,Removed,M,NA,3,A,3,L,"133,136",Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/10/21,10:36,WL,BGRR,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/14/21,14:33,WL,BGRR,Removed,M,NA,3.5,A,3,L,"115,116",Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/18/21,10:38,WL,BGW,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGW,Removed,M,NA,9,A,3,L,NA,N,NA,NA,NA,NA,NA
6/24/21,10:05,WL,BGW,Removed,M,NA,NA,A,3,L,101-0016,N,NA,NA,NA,NA,Brecelet colors moved around beware
6/28/21,10:12,WL,BGW,Removed,M,NA,6,A,3,L,NA,N,NA,NA,NA,NA,NA
7/1/21,10:16,WL,BGW,Removed,M,NA,NA,A,3,L,101-0047,N,NA,NA,NA,NA,NA
7/5/21,8:58,WL,BGW,Removed,M,NA,7.5,A,3,L,NA,N,NA,NA,NA,NA,NA
7/8/21,9:32,WL,BGW,Removed,M,NA,NA,A,3,L,101-0075,N,NA,NA,NA,NA,NA
7/12/21,14:55,WL,BGW,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,NA
7/15/21,9:40,WL,BGW,Removed,M,NA,NA,A,3,L,101-0112,N,NA,NA,NA,NA,Barely fluorescing
7/19/21,10:26,WL,BGW,Removed,M,NA,6.5,A,3,L,NA,N,NA,NA,NA,NA,NA
7/22/21,8:50,WL,BGW,Removed,M,NA,NA,A,3,L,101-0134,N,NA,NA,NA,NA,Barely fluorescing
6/10/21,10:36,WL,BGWG,Removed,M,NA,NA,A,3,X,NA,N,NA,NA,NA,NA,"Super fiesty, Removed from tray (non-premolt) on 6/17/2021 12:35"
6/14/21,14:33,WL,BGWG,Removed,M,NA,4,A,3,L,"100,101",Y,NA,NA,NA,NA,"Barely fluorescing, milky color, Removed from tray (non-premolt) on 6/17/2021 12:35"
6/10/21,9:31,WL,BGWK,Removed,M,NA,NA,A,2,L,NA,N,NA,NA,NA,NA,"Dimly fluorescing, Removed from tray (non-premolt) on 6/17/2021 12:35"
6/14/21,14:33,WL,BGWK,Removed,M,NA,3,A,2,L,"113,114",Y,NA,NA,NA,NA,"Small blood sample, Removed from tray (non-premolt) on 6/17/2021 12:35"
6/18/21,10:38,WL,BGWR,Dead,F,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGWR,Dead,F,NA,8.5,A,3,L,NA,N,NA,NA,NA,NA,NA
6/24/21,10:05,WL,BGWR,Dead,F,NA,NA,A,3,L,101-0020,N,NA,NA,NA,NA,Barely fluorescing 
6/28/21,10:55,WL,BGWR,Dead,F,NA,8.5,A,3,L,NA,N,NA,NA,NA,NA,NA
6/10/21,9:31,WL,BGWW,Removed,M,NA,NA,A,2,L,NA,N,NA,NA,NA,NA,"Dimly fluorescing, Removed from tray (non-premolt) on 6/17/2021 12:35"
6/14/21,14:33,WL,BGWW,Removed,M,NA,2.5,A,2,L,"106,107",Y,NA,NA,NA,NA,"Barely Fluoresced, Removed from tray (non-premolt) on 6/17/2021 12:35"
6/10/21,9:31,WL,BGWY,Removed,M,NA,NA,A,2,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/14/21,14:33,WL,BGWY,Removed,M,NA,3.5,A,3,L,"121,122",Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/18/21,10:38,WL,BGYG,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGYG,Removed,M,NA,10,A,3,L,NA,N,NA,NA,NA,NA,Barely fluorescing 
6/24/21,10:05,WL,BGYG,Removed,M,NA,NA,A,3,L,101-0019,N,NA,NA,NA,NA,Barely fluorescing 
6/28/21,10:55,WL,BGYG,Removed,M,NA,9,A,3,L,NA,N,NA,NA,NA,NA,NA
7/1/21,10:16,WL,BGYG,Removed,M,NA,NA,A,3,L,101-0051,N,NA,NA,NA,NA,Tips only
7/5/21,8:58,WL,BGYG,Removed,M,NA,8.5,A,3,L,NA,N,NA,NA,NA,NA,NA
7/8/21,9:32,WL,BGYG,Removed,M,NA,NA,A,3,L,101-0077,N,NA,NA,NA,NA,Just tips fluorescing
7/12/21,14:55,WL,BGYG,Removed,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,NA
7/15/21,9:40,WL,BGYG,Removed,M,NA,NA,A,3,L,101-0115,N,NA,NA,NA,NA,Just tips fluorescing
7/19/21,10:26,WL,BGYG,Removed,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,Just tips fluorescing
7/22/21,8:50,WL,BGYG,Removed,M,NA,NA,A,3,X,101-0144,N,NA,NA,NA,NA,NA
6/10/21,10:36,WL,BGYK,Removed,M,NA,NA,A,2,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/14/21,14:33,WL,BGYK,Removed,M,NA,4,A,3,L,"131,132",Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/3/21,9:17,WL,BGYR,Removed,M,NA,NA,A,3,L,"32,33",N,NA,NA,NA,NA,NA
6/7/21,9:13,WL,BGYR,Removed,M,NA,7.5,A,3,L,"36,37",Y,NA,NA,NA,NA,NA
6/10/21,9:31,WL,BGYR,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/14/21,14:33,WL,BGYR,Removed,M,NA,6,A,3,L,"94,95",Y,NA,NA,NA,NA,NA
6/18/21,10:38,WL,BGYR,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGYR,Removed,M,NA,8.5,A,3,L,NA,N,NA,NA,NA,NA,NA
6/24/21,10:05,WL,BGYR,Removed,M,NA,NA,A,3,L,101-0004,N,NA,NA,NA,NA,Barely fluorescing
6/28/21,10:12,WL,BGYR,Removed,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,Not super aggressive
7/1/21,10:16,WL,BGYR,Removed,M,NA,NA,A,3,L,101-0034,N,NA,NA,NA,NA,NA
7/5/21,8:58,WL,BGYR,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,Just the tips of legs fluorescing
7/8/21,9:32,WL,BGYR,Removed,M,NA,NA,A,3,L,101-0062,N,NA,NA,NA,NA,NA
7/12/21,14:55,WL,BGYR,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,Lathargic
7/15/21,9:40,WL,BGYR,Removed,M,NA,NA,A,3,L,101-0099,N,NA,NA,NA,NA,Thrown Out
6/10/21,10:36,WL,BGYW,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/14/21,14:33,WL,BGYW,Removed,M,NA,4.5,A,3,L,"74,75",Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/3/21,9:17,WL,BGYY,Removed,M,NA,NA,A,3,L,"18,19",N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/7/21,9:13,WL,BGYY,Removed,M,NA,7,A,3,X,"40,41",Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/10/21,9:31,WL,BGYY,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/14/21,14:33,WL,BGYY,Removed,M,NA,8,A,3,L,"80,81",Y,NA,NA,NA,NA,"Just tips of legs fluorescing, Removed from tray (non-premolt) on 6/17/2021 12:35"
6/13/22,12:31,WL,GBB,Molted,M,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/16/22,10:30,WL,GBB,Molted,M,3,9,A,3,NA,NA,N,NA,NA,9,353,
6/21/22,9:40,WL,GBB,Molted,M,1,4,A,3,NA,NA,N,NA,NA,NA,NA,
6/23/22,9:07,WL,GBB,Molted,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,
6/30/22,9:22,WL,GBB,Molted,M,3,8,A,3,NA,NA,N,NA,NA,NA,309,
7/5/22,9:22,WL,GBB,Molted,M,3,8,A,3,NA,NA,N,NA,NA,7.8,316,Browke claw off. Retagged to K-WB
7/7/22,9:27,WL,GBB,Molted,M,3,7,A,3,NA,NA,N,NA,NA,6.9,328,
7/11/22,9:37,WL,GBB,Molted,M,3,5,A,3,NA,NA,N,NA,NA,NA,277,
7/14/22,9:27,WL,GBB,Molted,M,1,3.5,M,1,NA,NA,N,54,NA,3.9,335,Molted 7-13; picture taken
6/13/22,12:31,WL,GBBB,Missing,M,3,5,A,3,NA,NA,N,NA,NA,NA,NA,
