Crab ID,Condo ID,Cell ID,Date Added,Date Removed,Days in Condo,Time Added (24hr),CW (mm),Weight (g),Sex (M/F),# Limbs Missing,Outcome,Notes/Observations,,,,,,,,,,,,
OBGG,CML,A1,6/25/21,7/23/21,29,10:25,53.0,48.3,M,0,Removed,Removed 7/23/21 (in condo for 4 weeks),,,,,,,,,,,,
OBGK,CML,A2,6/25/21,7/9/21,15,10:31,62.0,73.0,M,2,Dead,Dead 7/9/21,,,,,,,,,,,,
OBGR,CML,C3,6/25/21,7/23/21,29,11:34,63.0,60.6,M,1,Dead,Dead 7/23/21; 1 leg,,,,,,,,,,,,
OBGW,CML,C1,6/25/21,7/1/21,7,11:24,55.0,33.4,M,0,Dead,Dead 7/1/21,,,,,,,,,,,,
OBGY,CML,B2,6/25/21,6/29/21,5,11:02,56.0,40.5,M,3.5,Dead,"Dead 6/29/21; missing part of claw, 4.3 leg",,,,,,,,,,,,
OBK,WL,F5,6/10/21,6/17/21,7,11:55,62.0,66.4,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBKB,WL,C3,6/10/21,6/17/21,7,11:55,59.0,58.1,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBKG,WL,D3,6/10/21,6/17/21,7,11:55,60.0,57.7,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBKK,WL,F2,6/10/21,6/28/21,10,11:55,59.0,55.5,M,0,Missing,Went missing from condo?,,,,,,,,,,,,
OBKW,CML,B4,6/25/21,7/1/21,7,11:11,46.0,32.4,M,1,Dead,Dead 7/1/21; 1 leg,,,,,,,,,,,,
OBKY,CML,B3,6/25/21,7/15/21,21,11:08,52.0,33.6,M,1,Dead,Dead 7/15/21; jelly leg,,,,,,,,,,,,
OBRG,CML,D2,6/25/21,7/23/21,29,11:50,45.0,29.3,M,1,Removed,Removed 7/23/21 (In condo for 4 weeks); intermolt or possibly very early pre-molt,,,,,,,,,,,,
OBRK,CML,A6,6/25/21,7/23/21,29,10:53,60.0,63.2,M,0,Removed,Removed 7/23/21 (in condo for 4 weeks),,,,,,,,,,,,
OBRR,WL,B6,6/3/21,6/17/21,14,10:18,56.0,47.5,M,1,Removed,"1 claw missing, Removed from tray (non-premolt) on 6/17/2021 12:35",,,,,,,,,,,,
OBRW,WL,D1,6/18/21,7/12/21,24,10:38,39.0,15.1,M,0,Molted,Molted 7/12/2021,,,,,,,,,,,,
OBRY,CML,C5,6/25/21,7/23/21,29,11:43,58.0,64.8,M,0,Removed,"Removed 7/23/21 (In condo for 4 weeks); 1 leg, baby claw",,,,,,,,,,,,
OBW,WL,C6,6/10/21,7/22/21,42,11:55,59.0,49.9,M,2,Dead,Dead 7/22/2021,,,,,,,,,,,,
OBWB,WL,B4,6/3/21,6/17/21,14,10:17,55.0,48.8,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBWG,CML,B5,6/25/21,7/23/21,29,11:17,60.0,65.0,M,0,Removed,Removed 7/23/21 (in condo for 4 weeks),,,,,,,,,,,,
OBWK,WL,A1,6/3/21,6/17/21,14,10:09,56.0,50.3,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBWR,CML,B1,6/25/21,7/23/21,29,10:59,52.0,42.6,M,0,Dead,Dead 7/23/21,,,,,,,,,,,,
OBWY,WL,E5,6/10/21,6/17/21,7,11:55,64.0,79.0,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBY,CML,A4,6/25/21,7/23/21,29,10:45,64.0,64.8,M,0,Removed,Removed 7/23/21 (in condo for 4 weeks),,,,,,,,,,,,
OBYB,CML,D1,6/25/21,7/13/21,19,11:50,44.0,28.7,M,0,Dead,"Dead 7/13/21; very good halo,dullish?",,,,,,,,,,,,
OBYG,WL,A6,6/3/21,6/17/21,14,10:15,55.0,48.5,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBYK,WL,B6,6/18/21,7/22/21,35,10:38,62.0,72.9,M,1,Removed,Missing 1 leg,,,,,,,,,,,,
OBYR,WL,C5,6/10/21,6/28/21,18,11:55,49.0,34.4,M,0,Molted,,,,,,,,,,,,,
OBYW,CML,A5,6/25/21,7/5/21,11,10:49,51.0,38.8,M,0,Dead,Dead 7/5/21,,,,,,,,,,,,
PB,WL,B2,7/22/21,9/10/21,51,11:10,45.0,23.5,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
PBBG,WL,F1,7/15/21,7/22/21,7,10:59,40.5,19.4,F,0,Molted,Molted 7/22/2021,,,,,,,,,,,,
PBBK,WL,A2,7/22/21,9/10/21,51,11:10,53.0,42.0,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
PBBR,CML,B2,7/5/21,7/23/21,19,11:58,50.0,-,M,2,Removed,Removed 7/23/21 (in condo for 3 weeks),,,,,,,,,,,,
PBBW,WL,F3,7/15/21,7/19/21,4,10:59,55.0,41.1,F,1,NA,1 leg,,,,,,,,,,,,
PBBY,WL,D4,7/12/21,8/23/21,43,16:00,40.0,17.7,F,0,Removed,Removed 8/23/21 (in condo 6 weeks),,,,,,,,,,,,
PBGG,WL,F2,7/15/21,9/10/21,51,10:59,49.0,31.1,F,2,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo); 2 legs,,,,,,,,,,,,
PBGK,CML,A5,7/5/21,7/23/21,19,11:56,67.5,18.4 (?),M,2,Removed,Removed 7/23/21 (in condo for 3 weeks),,,,,,,,,,,,
PBGR,WL,A1,7/22/21,8/12/21,22,11:10,43.0,20.1,F,0,Missing,Escaped 8/12/21,,,,,,,,,,,,
PBGW,WL,A5,6/24/21,7/22/21,29,11:30,62.0,70.2,M,0,Removed,,,,,,,,,,,,,
PBGY,WL,E1,7/15/21,9/10/21,51,10:59,53.5,43.3,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
PBK,CML,B4,7/5/21,7/23/21,19,12:00,66.0,-,M,4,Removed,Removed 7/23/21 (in condo for 3 weeks),,,,,,,,,,,,
PBR,WL,B1,7/22/21,8/16/21,26,11:10,58.0,45.1,F,3,Dead,Dead 8/16/21,,,,,,,,,,,,
PBRB,WL,D6,7/19/21,9/10/21,51,11:46,49.0,31.0,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
PBRG,WL,D5,7/19/21,7/22/21,3,11:46,47.0,29.9,F,0,Molted,Molted 7/22/2021,,,,,,,,,,,,
PBRG2,WL,A3,7/22/21,9/2/21,43,11:10,52.0,39.2,F,0,Dead,Dead 9/2/21; in condo 6 weeks,,,,,,,,,,,,
PBRK,WL,B5,6/18/21,7/22/21,35,10:38,43.0,19.8,M,3,Removed,"1 claw, 2 legs missing",,,,,,,,,,,,
PBRR,CML,B6,7/5/21,7/23/21,19,12:05,51.5,-,M,2,Removed,"Removed 7/23/21 (in condo for 3 weeks); 1 leg, 1 claw",,,,,,,,,,,,
