date,condo_id,crab_id,outcome,sex,hemo_color,hemo_ri,status,shell_hardness,digital_ri,ca,start_end
7/22/21,WL,PBRG2,Dead,F,NA,5,A,3,NA,NA,start
7/22/21,WL,PBRK,Removed,M,NA,NA,A,3,NA,NA,end
6/29/21,CML,OBGB,Dead,M,NA,8,A,3,NA,NA,NA
7/1/21,CML,OBGB,Dead,M,NA,NA,A,3,NA,NA,NA
7/5/21,CML,OBGB,Dead,M,NA,8,A,3,NA,NA,NA
7/9/21,CML,OBGB,Dead,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,OBGB,Dead,M,NA,7,A,3,NA,NA,NA
7/15/21,CML,OBGB,Dead,M,NA,NA,A,3,NA,NA,NA
7/22/21,WL,PBW,Molted,F,NA,5.5,M,1,NA,NA,end
7/22/21,WL,PBWG,Dead,M,NA,NA,D,NA,NA,NA,end
6/29/21,CML,OBGG,Removed,M,NA,10,A,3,NA,NA,NA
7/1/21,CML,OBGG,Removed,M,NA,10,A,3,NA,NA,NA
7/5/21,CML,OBGG,Removed,M,NA,8,A,3,NA,NA,NA
7/9/21,CML,OBGG,Removed,M,NA,8.5,A,NA,NA,NA,NA
7/13/21,CML,OBGG,Removed,M,NA,8,A,3,NA,NA,NA
7/15/21,CML,OBGG,Removed,M,NA,7,A,3,NA,NA,NA
7/20/21,CML,OBGG,Removed,M,NA,6.5,A,3,NA,NA,NA
7/22/21,WL,PBWR,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,PBYK,Removed,F,NA,9.5,A,3,NA,NA,start
6/29/21,CML,OBGK,Dead,M,NA,9,A,3,NA,NA,NA
7/1/21,CML,OBGK,Dead,M,NA,NA,A,3,NA,NA,NA
7/5/21,CML,OBGK,Dead,M,NA,8.5,A,3,NA,NA,NA
7/22/21,WL,PBYR,Missing,F,NA,13,A,3,NA,NA,start
7/22/21,WL,PGR,Removed,M,NA,NA,A,3,NA,NA,end
6/29/21,CML,OBGR,Dead,M,NA,8,A,3,NA,NA,NA
7/1/21,CML,OBGR,Dead,M,NA,NA,A,3,NA,NA,NA
7/5/21,CML,OBGR,Dead,M,NA,8,A,3,NA,NA,NA
7/9/21,CML,OBGR,Dead,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,OBGR,Dead,M,NA,7.5,A,3,NA,NA,NA
7/15/21,CML,OBGR,Dead,M,NA,NA,A,3,NA,NA,NA
7/20/21,CML,OBGR,Dead,M,NA,6,A,3,NA,NA,NA
7/22/21,WL,YBBB,Removed,F,NA,9,A,3,NA,NA,start
7/22/21,WL,YBBG,Removed,F,NA,9,A,3,NA,NA,start
6/29/21,CML,OBGW,Dead,M,NA,6.5,A,3,NA,NA,NA
7/22/21,WL,YBBK,Dead,F,NA,10,A,3,NA,NA,start
7/22/21,WL,YBBR,NA,F,NA,9,A,3,NA,NA,start
7/22/21,WL,YBG,Dead,F,NA,9.5,A,3,NA,NA,start
7/22/21,WL,YBK,Dead,F,NA,6,A,3,NA,NA,start
7/22/21,WL,YBKY,Removed,F,NA,8.5,A,3,NA,NA,start
7/22/21,WL,YBRY,Dead,F,NA,6,A,3,NA,NA,start
7/22/21,WL,YBW,Removed,F,NA,7,A,3,NA,NA,start
7/22/21,WL,YBWG,Removed,F,NA,10,A,3,NA,NA,start
7/22/21,WL,YBWY,Removed,F,NA,8,A,3,NA,NA,start
7/22/21,WL,YBY,Molted,F,NA,12,A,3,NA,NA,start
6/14/21,WL,OBKK,Missing,M,NA,7,A,3,NA,NA,NA
6/18/21,WL,OBKK,Missing,M,NA,NA,A,3,NA,NA,NA
6/21/21,WL,OBKK,Missing,M,NA,9,A,3,NA,NA,NA
6/24/21,WL,OBKK,Missing,M,NA,NA,A,3,NA,NA,NA
7/22/21,WL,YBYB,Molted,F,NA,12,A,3,NA,NA,start
7/22/21,WL,YBYK,Removed,F,NA,9,A,3,NA,NA,start
6/29/21,CML,OBKW,Dead,M,NA,5,A,3,NA,NA,NA
7/22/21,WL,YBYW,Dead,F,NA,13,A,3,NA,NA,start
7/22/21,WL,YYG,Molted,F,NA,13.5,A,3,NA,NA,start
7/22/21,WL,YYGR,Dead,F,NA,6,A,3,NA,NA,start
7/1/21,CML,OBKY,Dead,M,NA,NA,A,3,NA,NA,NA
7/5/21,CML,OBKY,Dead,M,NA,8.5,A,3,NA,NA,NA
7/9/21,CML,OBKY,Dead,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,OBKY,Dead,M,NA,7.5,A,3,NA,NA,NA
7/22/21,WL,YYW,Dead,F,NA,9,A,3,NA,NA,start
7/23/21,CML,OB,Removed,M,NA,NA,A,3,NA,NA,end
6/29/21,CML,OBRG,Removed,M,NA,9,A,3,NA,NA,NA
7/1/21,CML,OBRG,Removed,M,NA,NA,A,3,NA,NA,NA
7/5/21,CML,OBRG,Removed,M,NA,7.5,A,3,NA,NA,NA
7/9/21,CML,OBRG,Removed,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,OBRG,Removed,M,NA,7.5,A,3,NA,NA,NA
7/15/21,CML,OBRG,Removed,M,NA,NA,A,3,NA,NA,NA
