date,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,cw,mass,digital_ri,ca,start_end
6/16/22,WL,KWW,Missing,M,3,8,A,3,NA,NA,9.5,377,start
6/23/22,WL,KWW,Missing,M,3,6.5,A,3,NA,NA,NA,NA,end
6/16/22,WL,KWWK,Dead,M,1,5,A,3,NA,NA,NA,247,start
7/5/22,WL,KWWK,Dead,F,3,8,A,3,NA,NA,NA,374,end
7/18/22,WL,KWWW,Removed,F,4,7.5,A,3,NA,NA,7.3,377,start
8/3/22,WL,KWWW,Removed,M,3,9,A,3,NA,NA,10.6,433,end
8/1/22,WL,KWYK,Dead,F,1,6.5,A,3,NA,NA,NA,NA,start
8/18/22,WL,KWYK,Dead,F,3,4.5,A,3,NA,NA,NA,NA,end
7/18/22,WL,KWYW,Removed,F,2,5.5,A,3,NA,NA,5.4,366,start
8/9/22,WL,KWYW,Removed,F,1,3.3,A,3,NA,NA,NA,NA,end
7/29/22,WL,KYBW,Removed,F,1,4.5,A,3,NA,NA,NA,NA,start
8/9/22,WL,KYBW,Removed,F,1,4,A,3,NA,NA,NA,NA,end
7/29/22,WL,KYGR,Dead,F,1,3,A,3,NA,NA,NA,NA,start
8/15/22,WL,KYGR,Dead,F,1,3.5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KYKR,Removed,F,5,9,A,3,NA,NA,NA,NA,start
8/18/22,WL,KYKR,Removed,F,1,5,A,3,NA,NA,NA,NA,end
6/16/22,WL,KYKW,Missing,F,1,3,A,3,NA,NA,NA,NA,start
6/23/22,WL,KYWK,Missing,M,1,5.5,A,3,NA,NA,NA,318,end
8/1/22,WL,KYWR,Removed,M,NA,NA,D,NA,NA,NA,NA,NA,start
8/18/22,WL,KYWR,Removed,F,3,4,A,3,NA,NA,NA,NA,end
6/16/22,WL,KYWW,Removed,F,3,4.5,A,3,NA,NA,NA,NA,start
7/7/22,WL,KYWW,Removed,M,3,7,A,3,NA,NA,7.3,319,end
8/1/22,WL,KYWY,Dead,F,3,9.5,A,3,NA,NA,NA,NA,start
8/3/22,WL,KYWY,Dead,F,NA,NA,D,3,NA,NA,NA,NA,end
6/16/22,WL,KYYR,Missing,M,4,6.5,A,3,NA,NA,NA,NA,start
6/23/22,WL,KYYR,Missing,M,1,6,A,3,NA,NA,NA,210,end
7/18/22,WL,KYYW,Removed,M,3,6.5,A,3,NA,NA,7.4,309,start
8/9/22,WL,KYYW,Removed,F,3,8,A,3,NA,NA,7.5,346,end
6/16/22,WL,KYYY,Removed,M,3,6,A,3,NA,NA,NA,NA,start
