date,condo_id,crab_id,outcome,sex,hemo_color,hemo_ri,status,shell_hardness,digital_ri,ca,start_end
5/19/22,WL,GBYB,Molted,M,4,11,A,3,NA,NA,start
5/19/22,WL,GBYG,Removed,M,3,13,A,3,NA,NA,start
5/19/22,WL,GBYR,Dead,M,1,5.5,A,3,NA,NA,start
5/19/22,WL,GBYY,Removed,M,3,11,A,3,NA,NA,start
5/19/22,WL,GGBG,Removed,M,3,9,A,3,NA,NA,start
5/19/22,WL,GGBR,Molted,M,3,9.5,A,3,NA,NA,start
5/19/22,WL,GGBW,Removed,M,3,9,A,3,NA,NA,start
5/19/22,WL,GGBY,Molted,M,3,11.5,A,3,NA,NA,start
5/19/22,WL,GGGG,Dead,M,1,7,A,3,NA,NA,start
5/19/22,WL,GGKG,Molted,M,4,12.5,A,3,NA,NA,start
5/19/22,WL,GGKR,Molted,M,3,9.5,A,3,NA,NA,start
5/19/22,WL,GGRK,Removed,M,2,12.5,A,3,NA,NA,start
5/19/22,WL,GGRR,Dead,M,4,11.5,A,3,NA,NA,start
5/19/22,WL,GGYG,Removed,M,1,4.5,A,3,NA,NA,start
5/19/22,WL,GGYR,Removed,M,3,11,A,3,NA,NA,start
5/19/22,WL,GYGK,Removed,M,3,10,A,3,NA,NA,start
5/19/22,WL,GYGW,Removed,M,3,11.5,A,3,NA,NA,start
5/23/22,WL,GBGY,Molted,M,1,5,M,1,NA,NA,end
5/23/22,WL,GGGY,Molted,M,4,10,A,3,NA,NA,start
5/31/22,WL,GBGB,Molted,M,NA,NA,M,2,NA,NA,end
5/31/22,WL,GBYB,Molted,M,NA,NA,D,NA,NA,NA,end
5/31/22,WL,GGBY,Molted,M,NA,NA,M,2,NA,NA,end
5/31/22,WL,GGGW,Molted,M,3,10.5,A,3,NA,NA,start
5/31/22,WL,GGYW,Removed,M,3,7,A,3,NA,NA,start
6/2/22,WL,GGGY,Molted,M,3,4.5,M,2,NA,NA,end
6/2/22,WL,GGKG,Molted,M,1,4,M,2,NA,NA,end
6/2/22,WL,GGRR,Dead,M,NA,NA,D,3,NA,NA,end
6/6/22,WL,GBGW,Dead,M,NA,NA,D,NA,NA,NA,end
6/6/22,WL,GBKR,Molted,M,NA,NA,D,NA,NA,NA,end
6/6/22,WL,GBRY,Dead,M,NA,NA,D,NA,NA,NA,end
6/6/22,WL,GBWK,Molted,M,3,4,M,1,NA,NA,end
6/6/22,WL,GBWW,Dead,M,4,6,P,3,NA,NA,end
6/6/22,WL,GBYR,Dead,M,NA,NA,D,3,NA,NA,end
6/6/22,WL,GGGG,Dead,M,NA,NA,D,NA,NA,NA,end
6/8/22,WL,GBYY,Removed,M,3,8,A,3,NA,NA,end
6/8/22,WL,GYGW,Removed,M,3,9,A,3,NA,NA,end
6/13/22,WL,GBB,Molted,M,2,5.5,A,3,NA,NA,start
6/13/22,WL,GBBB,Missing,M,3,5,A,3,NA,NA,start
6/13/22,WL,GBBW,Dead,M,3,5,A,3,NA,NA,start
6/13/22,WL,GBGG,Molted,M,3,5,M,2,NA,NA,end
6/13/22,WL,GBGK,Removed,M,3,11.5,A,3,NA,NA,start
6/13/22,WL,GBGR,Removed,M,3,4.5,A,3,NA,NA,end
6/13/22,WL,GBRK,Removed,M,3,6.5,A,3,NA,NA,start
6/13/22,WL,GBRR,Missing,M,3,5.5,A,3,NA,NA,start
6/13/22,WL,GBWB,Removed,M,3,7.5,A,3,NA,NA,end
6/13/22,WL,GBWR,Removed,M,3,10,A,3,NA,NA,start
6/13/22,WL,GBWY,Removed,M,NA,NA,M,NA,NA,NA,end
6/13/22,WL,GBY,Removed,M,3,6.5,A,3,NA,NA,end
6/13/22,WL,GBYG,Removed,M,3,7,A,3,NA,NA,end
6/13/22,WL,GGBG,Removed,M,5,8,A,3,NA,NA,end
6/13/22,WL,GGBR,Molted,M,NA,NA,MIA,NA,NA,NA,end
6/13/22,WL,GGBW,Removed,M,3,6,A,3,NA,NA,end
6/13/22,WL,GGG,Removed,M,3,7.5,A,3,NA,NA,start
6/13/22,WL,GGGW,Molted,M,3,7,P,3,NA,NA,end
6/13/22,WL,GGKR,Molted,M,1,3.5,M,2,NA,NA,end
6/13/22,WL,GGRK,Removed,M,3,7,A,3,NA,NA,end
6/13/22,WL,GGW,Molted,M,2,4,A,3,NA,NA,start
6/13/22,WL,GGWG,Dead,M,3,8,A,3,NA,NA,start
6/13/22,WL,GGYG,Removed,M,3,7,A,3,NA,NA,end
6/13/22,WL,GGYR,Removed,M,3,6.5,A,3,NA,NA,end
6/13/22,WL,GYGK,Removed,M,3,4.5,A,3,NA,NA,end
6/21/22,WL,GBBB,Missing,M,1,4,A,3,NA,226,end
6/21/22,WL,GGW,Molted,M,2,4,M,2,NA,NA,end
6/21/22,WL,GGYW,Removed,M,5,6.5,A,3,NA,NA,end
6/28/22,WL,GBBW,Dead,M,NA,NA,D,NA,NA,251,end
7/7/22,WL,GBGK,Removed,M,4,9,A,3,9.0,354,end
7/7/22,WL,GBRK,Removed,M,2,5,A,3,5.6,325,end
7/7/22,WL,GBRR,Missing,M,1,4,A,3,4.3,292,end
7/7/22,WL,GBWR,Removed,M,3,6,A,3,6.1,284,end
7/7/22,WL,GGG,Removed,M,3,6,A,3,6.1,313,end
7/14/22,WL,GBB,Molted,M,1,3.5,P,1,3.9,335,end
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
